phenomenonTime,result
2019-11-11T19:58:04.478Z,27.72
2019-11-11T19:57:00.355Z,28.44
2019-11-11T19:55:56.953Z,29.88
2019-11-11T19:54:52.210Z,17.64
2019-11-11T19:52:46.154Z,36
2019-11-11T19:50:42.668Z,36.72
2019-11-11T19:49:38.821Z,56.16
2019-11-11T19:48:34.235Z,8.28
2019-11-11T19:47:33.960Z,0
2019-11-11T19:46:29.858Z,16.92
2019-11-11T19:45:24.724Z,17.64
2019-11-11T19:44:22.023Z,29.88
2019-11-11T19:43:17.813Z,16.2
2019-11-11T19:41:11.796Z,5.4
2019-11-11T19:40:09.927Z,31.32
2019-11-11T19:39:07.226Z,35.28
2019-11-11T19:38:06.122Z,65.52
2019-11-11T19:37:02.966Z,24.12
2019-11-11T19:35:57.437Z,36
2019-11-11T19:34:53.790Z,33.48
2019-11-11T19:33:50.312Z,5.4
2019-11-11T19:32:47.203Z,35.28
2019-11-11T19:29:44.360Z,7.56
2019-11-11T19:27:34.459Z,48.96
2019-11-11T19:26:30.942Z,36.72
2019-11-11T19:25:27.605Z,6.84
2019-11-11T19:24:24.504Z,17.64
2019-11-11T19:23:20.356Z,16.92
2019-11-11T19:21:15.420Z,16.2
2019-11-11T19:18:07.876Z,29.16
2019-11-11T19:17:04.773Z,61.92
2019-11-11T19:16:03.384Z,21.24
2019-11-11T19:13:54.476Z,16.2
2019-11-11T19:12:52.317Z,12.6
2019-11-11T19:10:44.023Z,14.04
2019-11-11T19:09:44.820Z,6.84
2019-11-11T19:08:37.986Z,3.24
2019-11-11T19:07:38.876Z,36
2019-11-11T19:06:33.138Z,9
2019-11-11T19:05:30.647Z,20.52
2019-11-11T19:04:26.609Z,36.72
2019-11-11T19:03:23.596Z,35.28
2019-11-11T19:02:19.191Z,32.76
2019-11-11T19:01:16.549Z,3.96
2019-11-11T18:58:11.610Z,31.32
2019-11-11T18:57:07.724Z,14.04
2019-11-11T18:56:02.219Z,34.92
2019-11-11T18:54:59.046Z,6.84
2019-11-11T18:53:55.561Z,9.72
2019-11-11T18:52:51.669Z,18.36
2019-11-11T18:51:49.439Z,6.84
2019-11-11T18:50:46.697Z,32.76
2019-11-11T18:48:40.787Z,9
2019-11-11T18:47:40.087Z,12.6
2019-11-11T18:46:35.840Z,29.16
2019-11-11T18:45:31.193Z,7.56
2019-11-11T18:44:30.448Z,11.16
2019-11-11T18:43:25.813Z,34.92
2019-11-11T18:42:22.603Z,46.44
2019-11-11T18:41:18.406Z,30.6
2019-11-11T18:40:16.264Z,16.92
2019-11-11T18:38:14.091Z,63.72
2019-11-11T18:37:09.478Z,3.24
2019-11-11T18:36:05.854Z,38.16
2019-11-11T18:35:02.714Z,29.16
2019-11-11T18:33:56.479Z,18.36
2019-11-11T18:31:49.291Z,21.24
2019-11-11T18:27:40.088Z,36
2019-11-11T18:26:05.463Z,14.04
2019-11-11T18:24:29.388Z,24.84
2019-11-11T18:21:18.116Z,27
2019-11-11T18:18:12.082Z,28.44
2019-11-11T18:16:35.196Z,40.32
2019-11-11T18:13:28.333Z,14.76
2019-11-11T18:09:15.181Z,19.08
2019-11-11T18:07:07.780Z,3.24
2019-11-11T18:06:07.086Z,31.32
2019-11-11T18:05:06.691Z,19.08
2019-11-11T18:04:00.749Z,9
2019-11-11T18:01:53.004Z,25.56
2019-11-11T18:00:52.411Z,32.04
2019-11-11T17:58:43.328Z,0
2019-11-11T17:57:47.299Z,19.08
2019-11-11T17:55:34.957Z,29.16
2019-11-11T17:54:33.810Z,10.44
2019-11-11T17:53:31.411Z,3.24
2019-11-11T17:52:27.059Z,7.56
2019-11-11T17:51:21.960Z,16.2
2019-11-11T17:49:16.481Z,29.16
2019-11-11T17:46:10.393Z,37.44
2019-11-11T17:45:05.391Z,23.76
2019-11-11T17:44:02.076Z,4.68
2019-11-11T17:42:56.922Z,36.72
2019-11-11T17:41:53.944Z,9.72
2019-11-11T17:40:52.223Z,14.76
2019-11-11T17:38:45.451Z,21.96
2019-11-11T17:37:48.561Z,31.32
2019-11-11T17:36:38.147Z,38.88
2019-11-11T17:35:38.315Z,21.24
2019-11-11T17:34:36.476Z,17.64
2019-11-11T17:33:33.412Z,14.76
2019-11-11T17:32:27.602Z,20.52
2019-11-11T17:31:23.249Z,31.32
2019-11-11T17:30:18.674Z,9.72
2019-11-11T17:27:09.638Z,34.2
2019-11-11T17:26:12.882Z,13.32
2019-11-11T17:25:10.945Z,37.44
2019-11-11T17:24:04.710Z,3.24
2019-11-11T17:22:57.888Z,17.64
2019-11-11T17:21:54.827Z,39.6
2019-11-11T17:16:38.411Z,2.52
2019-11-11T17:15:38.773Z,0
2019-11-11T17:14:37.869Z,15.48
2019-11-11T17:13:33.717Z,6.84
2019-11-11T17:12:27.363Z,17.64
2019-11-11T17:10:19.616Z,13.32
2019-11-11T17:09:16.060Z,0
2019-11-11T17:03:32.601Z,23.04
2019-11-11T17:02:28.702Z,34.2
2019-11-11T17:01:25.129Z,34.92
2019-11-11T17:00:20.486Z,27.72
2019-11-11T16:59:16.714Z,11.16
2019-11-11T16:58:14.664Z,27.72
2019-11-11T16:56:12.916Z,6.12
2019-11-11T16:55:06.805Z,29.16
2019-11-11T16:54:05.142Z,19.8
2019-11-11T16:52:59.594Z,27.72
2019-11-11T16:51:55.951Z,34.2
2019-11-11T16:50:52.699Z,5.4
2019-11-11T16:49:50.043Z,3.96
2019-11-11T16:48:50.406Z,18.36
2019-11-11T16:46:42.585Z,28.44
2019-11-11T16:45:40.160Z,32.04
2019-11-11T16:44:43.500Z,30.6
2019-11-11T16:43:37.109Z,11.88
2019-11-11T16:42:30.982Z,15.48
2019-11-11T16:41:26.339Z,6.12
2019-11-11T16:39:20.409Z,22.32
2019-11-11T16:37:14.902Z,0
2019-11-11T16:34:09.749Z,8.28
2019-11-11T16:33:06.189Z,21.24
2019-11-11T16:32:01.347Z,17.64
